month,industry_large,industry_mid,region_sido,region_sigungu,corp_grade,export_amt,import_amt,company_id,net_exposure
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.26,co_a8f8c012d3,-0.26
,건설업,종합 건설업,경상북도,경주시,최우수,0.0,0.01,co_1040e34f2e,-0.01
,건설업,전문직별 공사업,대구광역시,북구,최우수,0.0,0.05,co_39aea943e6,-0.05
,건설업,전문직별 공사업,경상남도,함안군,우수,0.0,0.02,co_1bae134669,-0.02
,건설업,전문직별 공사업,경상북도,구미시,최우수,3.3,0.01,co_f999b11ebe,3.29
,건설업,전문직별 공사업,경상북도,포항시 남구,최우수,0.0,0.14,co_4b719ad783,-0.14
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.07,co_a8f8c012d3,-0.07
,건설업,전문직별 공사업,서울특별시,송파구,우수,0.0,0.01,co_456be85fe8,-0.01
,건설업,종합 건설업,경상북도,경주시,최우수,0.0,0.01,co_1040e34f2e,-0.01
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.06,co_56de6f81fb,-0.06
,건설업,전문직별 공사업,대구광역시,북구,우수,0.0,0.02,co_159bbedaf1,-0.02
,건설업,전문직별 공사업,경상남도,함안군,우수,0.0,0.01,co_1bae134669,-0.01
,건설업,종합 건설업,경상북도,칠곡군,우수,0.0,0.01,co_d43016b030,-0.01
,건설업,전문직별 공사업,경상북도,포항시 남구,최우수,0.0,0.29,co_4b719ad783,-0.29
,건설업,전문직별 공사업,대구광역시,중구,우수,0.0,0.06,co_6ee010670a,-0.06
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.18,co_a8f8c012d3,-0.18
,건설업,전문직별 공사업,서울특별시,송파구,우수,0.0,0.04,co_456be85fe8,-0.04
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.04,co_56de6f81fb,-0.04
,건설업,전문직별 공사업,대구광역시,북구,우수,0.0,0.05,co_159bbedaf1,-0.05
,건설업,전문직별 공사업,경상남도,함안군,우수,0.0,0.03,co_1bae134669,-0.03
,건설업,전문직별 공사업,경상북도,경산시,최우수,0.0,0.14,co_e046fbef20,-0.14
,건설업,전문직별 공사업,대구광역시,중구,우수,0.0,0.09,co_6ee010670a,-0.09
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.32,co_a8f8c012d3,-0.32
,건설업,전문직별 공사업,서울특별시,송파구,우수,0.0,0.03,co_456be85fe8,-0.03
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.04,co_56de6f81fb,-0.04
,건설업,전문직별 공사업,대구광역시,북구,우수,0.0,0.01,co_159bbedaf1,-0.01
,건설업,전문직별 공사업,경상남도,함안군,우수,0.0,0.04,co_1bae134669,-0.04
,건설업,전문직별 공사업,경상북도,경산시,최우수,0.0,0.04,co_e046fbef20,-0.04
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.17,co_a8f8c012d3,-0.17
,건설업,전문직별 공사업,서울특별시,송파구,우수,0.0,0.06,co_456be85fe8,-0.06
,건설업,종합 건설업,경상북도,경주시,최우수,0.0,0.01,co_1040e34f2e,-0.01
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.03,co_56de6f81fb,-0.03
,건설업,전문직별 공사업,대구광역시,북구,우수,0.0,0.03,co_159bbedaf1,-0.03
,건설업,전문직별 공사업,경상남도,함안군,우수,0.0,0.02,co_1bae134669,-0.02
,건설업,전문직별 공사업,경상북도,구미시,최우수,0.9,0.0,co_f999b11ebe,0.9
,건설업,전문직별 공사업,경상북도,구미시,우수,0.0,0.01,co_95e30c5241,-0.01
,건설업,종합 건설업,부산광역시,강서구,최우수,0.0,0.02,co_a997aae6c5,-0.02
,건설업,전문직별 공사업,경상북도,포항시 남구,최우수,0.0,0.02,co_4b719ad783,-0.02
,건설업,전문직별 공사업,대구광역시,동구,최우수,0.0,0.19,co_a8f8c012d3,-0.19
,건설업,전문직별 공사업,서울특별시,송파구,우수,0.0,0.02,co_456be85fe8,-0.02
,건설업,전문직별 공사업,대구광역시,달성군,우수,0.0,0.08,co_56de6f81fb,-0.08
,건설업,전문직별 공사업,대구광역시,북구,우수,0.0,0.04,co_159bbedaf1,-0.04
,건설업,전문직별 공사업,경상남도,함안군,우수,0.0,0.03,co_1bae134669,-0.03
